Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1.0,Agra,Achnera,Potato,Desi,FAQ,900.0,1000.0,950.0,2020-12-30
2.0,Agra,Achnera,Potato,Desi,FAQ,800.0,900.0,850.0,2020-12-29
3.0,Agra,Achnera,Potato,Desi,FAQ,850.0,950.0,900.0,2020-12-28
4.0,Agra,Achnera,Potato,Desi,FAQ,800.0,900.0,850.0,2020-12-27
5.0,Agra,Achnera,Potato,Desi,FAQ,800.0,900.0,850.0,2020-12-26
6.0,Agra,Achnera,Potato,Desi,FAQ,800.0,900.0,850.0,2020-12-25
7.0,Agra,Achnera,Potato,Desi,FAQ,950.0,1050.0,1000.0,2020-12-23
8.0,Agra,Achnera,Potato,Desi,FAQ,820.0,920.0,870.0,2020-12-22
9.0,Agra,Achnera,Potato,Desi,FAQ,800.0,900.0,850.0,2020-12-21
10.0,Agra,Achnera,Potato,Desi,FAQ,800.0,900.0,850.0,2020-12-20
11.0,Agra,Achnera,Potato,Desi,FAQ,950.0,1050.0,1000.0,2020-12-19
12.0,Agra,Achnera,Potato,Desi,FAQ,1000.0,1100.0,1050.0,2020-12-18
13.0,Agra,Achnera,Potato,Desi,FAQ,1350.0,1450.0,1400.0,2020-12-16
14.0,Agra,Achnera,Potato,Desi,FAQ,1400.0,1500.0,1450.0,2020-12-15
15.0,Agra,Achnera,Potato,Desi,FAQ,1700.0,1800.0,1750.0,2020-12-14
16.0,Agra,Achnera,Potato,Desi,FAQ,1700.0,1800.0,1750.0,2020-12-13
17.0,Agra,Achnera,Potato,Desi,FAQ,1650.0,1750.0,1700.0,2020-12-12
18.0,Agra,Achnera,Potato,Desi,FAQ,2000.0,2100.0,2050.0,2020-12-11
19.0,Agra,Achnera,Potato,Desi,FAQ,2300.0,2400.0,2350.0,2020-12-09
20.0,Agra,Achnera,Potato,Desi,FAQ,2350.0,2450.0,2400.0,2020-12-08
21.0,Agra,Achnera,Potato,Desi,FAQ,2550.0,2650.0,2600.0,2020-12-07
22.0,Agra,Achnera,Potato,Desi,FAQ,2650.0,2750.0,2700.0,2020-12-06
23.0,Agra,Achnera,Potato,Desi,FAQ,2750.0,2850.0,2800.0,2020-12-05
24.0,Agra,Achnera,Potato,Desi,FAQ,2800.0,2880.0,2840.0,2020-12-04
25.0,Agra,Achnera,Potato,Desi,FAQ,2750.0,2850.0,2800.0,2020-12-02
26.0,Agra,Achnera,Potato,Desi,FAQ,2840.0,2940.0,2890.0,2020-12-01
27.0,Agra,Achnera,Potato,Desi,FAQ,2830.0,2930.0,2880.0,2020-11-30
28.0,Agra,Achnera,Potato,Desi,FAQ,3750.0,3850.0,3800.0,2020-11-29
29.0,Agra,Achnera,Potato,Desi,FAQ,2820.0,2900.0,2860.0,2020-11-28
30.0,Agra,Achnera,Potato,Desi,FAQ,2830.0,2910.0,2870.0,2020-11-27
31.0,Agra,Achnera,Potato,Desi,FAQ,2850.0,2950.0,2900.0,2020-11-25
32.0,Agra,Achnera,Potato,Desi,FAQ,2850.0,2950.0,2900.0,2020-11-24
33.0,Agra,Achnera,Potato,Desi,FAQ,2840.0,2920.0,2880.0,2020-11-23
34.0,Agra,Achnera,Potato,Desi,FAQ,2820.0,2900.0,2860.0,2020-11-22
35.0,Agra,Achnera,Potato,Desi,FAQ,2840.0,2920.0,2880.0,2020-11-21
36.0,Agra,Achnera,Potato,Desi,FAQ,2850.0,2950.0,2900.0,2020-11-20
37.0,Agra,Achnera,Potato,Desi,FAQ,2840.0,2920.0,2880.0,2020-11-18
38.0,Agra,Achnera,Potato,Desi,FAQ,2800.0,2880.0,2840.0,2020-11-17
39.0,Agra,Achnera,Potato,Desi,FAQ,2800.0,2880.0,2840.0,2020-11-16
40.0,Agra,Achnera,Potato,Desi,FAQ,2800.0,2860.0,2830.0,2020-11-15
41.0,Agra,Achnera,Potato,Desi,FAQ,2800.0,2860.0,2830.0,2020-11-14
42.0,Agra,Achnera,Potato,Desi,FAQ,2800.0,2880.0,2840.0,2020-11-13
43.0,Agra,Achnera,Potato,Desi,FAQ,2780.0,2860.0,2820.0,2020-11-11
44.0,Agra,Achnera,Potato,Desi,FAQ,2750.0,2850.0,2800.0,2020-11-10
45.0,Agra,Achnera,Potato,Desi,FAQ,2750.0,2850.0,2800.0,2020-11-09
46.0,Agra,Achnera,Potato,Desi,FAQ,2750.0,2850.0,2800.0,2020-11-08
47.0,Agra,Achnera,Potato,Desi,FAQ,2780.0,2860.0,2820.0,2020-11-07
48.0,Agra,Achnera,Potato,Desi,FAQ,2750.0,2850.0,2800.0,2020-11-06
49.0,Agra,Achnera,Potato,Desi,FAQ,2750.0,2850.0,2800.0,2020-11-04
50.0,Agra,Achnera,Potato,Desi,FAQ,2750.0,2850.0,2800.0,2020-11-03
51.0,Agra,Achnera,Potato,Desi,FAQ,2640.0,2720.0,2680.0,2020-11-02
52.0,Agra,Achnera,Potato,Desi,FAQ,2740.0,2820.0,2780.0,2020-11-01
53.0,Agra,Achnera,Potato,Desi,FAQ,2600.0,2700.0,2650.0,2020-10-31
54.0,Agra,Achnera,Potato,Desi,FAQ,2600.0,2680.0,2640.0,2020-10-30
55.0,Agra,Achnera,Potato,Desi,FAQ,2600.0,2700.0,2650.0,2020-10-28
56.0,Agra,Achnera,Potato,Desi,FAQ,2700.0,2780.0,2740.0,2020-10-27
57.0,Agra,Achnera,Potato,Desi,FAQ,2550.0,2650.0,2600.0,2020-10-26
58.0,Agra,Achnera,Potato,Desi,FAQ,2550.0,2650.0,2600.0,2020-10-25
59.0,Agra,Achnera,Potato,Desi,FAQ,2550.0,2650.0,2600.0,2020-10-24
60.0,Agra,Achnera,Potato,Desi,FAQ,2500.0,2580.0,2540.0,2020-10-23
61.0,Agra,Achnera,Potato,Desi,FAQ,2500.0,2600.0,2550.0,2020-10-21
62.0,Agra,Achnera,Potato,Desi,FAQ,2500.0,2600.0,2550.0,2020-10-20
63.0,Agra,Achnera,Potato,Desi,FAQ,2450.0,2550.0,2500.0,2020-10-19
64.0,Agra,Achnera,Potato,Desi,FAQ,2450.0,2550.0,2500.0,2020-10-18
65.0,Agra,Achnera,Potato,Desi,FAQ,2450.0,2550.0,2500.0,2020-10-17
66.0,Agra,Achnera,Potato,Desi,FAQ,2450.0,2550.0,2500.0,2020-10-16
67.0,Agra,Achnera,Potato,Desi,FAQ,2400.0,2500.0,2450.0,2020-10-14
68.0,Agra,Achnera,Potato,Desi,FAQ,2500.0,2560.0,2530.0,2020-10-13
69.0,Agra,Achnera,Potato,Desi,FAQ,2500.0,2580.0,2540.0,2020-10-12
70.0,Agra,Achnera,Potato,Desi,FAQ,2500.0,2580.0,2540.0,2020-10-11
71.0,Agra,Achnera,Potato,Desi,FAQ,2500.0,2560.0,2530.0,2020-10-10
72.0,Agra,Achnera,Potato,Desi,FAQ,2470.0,2530.0,2500.0,2020-10-07
73.0,Agra,Achnera,Potato,Desi,FAQ,2480.0,2560.0,2520.0,2020-10-06
74.0,Agra,Achnera,Potato,Desi,FAQ,2500.0,2580.0,2540.0,2020-10-05
75.0,Agra,Achnera,Potato,Desi,FAQ,2460.0,2540.0,2500.0,2020-10-04
76.0,Agra,Achnera,Potato,Desi,FAQ,2400.0,2500.0,2450.0,2020-10-03
77.0,Agra,Achnera,Potato,Desi,FAQ,2400.0,2500.0,2450.0,2020-10-02
78.0,Agra,Achnera,Potato,Desi,FAQ,2420.0,2500.0,2460.0,2020-09-30
79.0,Agra,Achnera,Potato,Desi,FAQ,2400.0,2500.0,2450.0,2020-09-29
80.0,Agra,Achnera,Potato,Desi,FAQ,2400.0,2480.0,2440.0,2020-09-28
81.0,Agra,Achnera,Potato,Desi,FAQ,2380.0,2460.0,2420.0,2020-09-27
82.0,Agra,Achnera,Potato,Desi,FAQ,2300.0,2400.0,2350.0,2020-09-26
83.0,Agra,Achnera,Potato,Desi,FAQ,2350.0,2450.0,2400.0,2020-09-25
84.0,Agra,Achnera,Potato,Desi,FAQ,2270.0,2350.0,2310.0,2020-09-23
85.0,Agra,Achnera,Potato,Desi,FAQ,2280.0,2360.0,2320.0,2020-09-22
86.0,Agra,Achnera,Potato,Desi,FAQ,2250.0,2350.0,2300.0,2020-09-21
87.0,Agra,Achnera,Potato,Desi,FAQ,2200.0,2300.0,2250.0,2020-09-20
88.0,Agra,Achnera,Potato,Desi,FAQ,2240.0,2340.0,2290.0,2020-09-19
89.0,Agra,Achnera,Potato,Desi,FAQ,2200.0,2350.0,2250.0,2020-09-18
90.0,Agra,Achnera,Potato,Desi,FAQ,2200.0,2300.0,2250.0,2020-09-16
91.0,Agra,Achnera,Potato,Desi,FAQ,2150.0,2250.0,2200.0,2020-09-15
92.0,Agra,Achnera,Potato,Desi,FAQ,2100.0,2200.0,2150.0,2020-09-14
93.0,Agra,Achnera,Potato,Desi,FAQ,2050.0,2150.0,2100.0,2020-09-13
94.0,Agra,Achnera,Potato,Desi,FAQ,2060.0,2140.0,2100.0,2020-09-12
95.0,Agra,Achnera,Potato,Desi,FAQ,2050.0,2150.0,2100.0,2020-09-11
96.0,Agra,Achnera,Potato,Potato,FAQ,2050.0,2150.0,2100.0,2020-09-10
97.0,Agra,Achnera,Potato,Desi,FAQ,2030.0,2130.0,2080.0,2020-09-09
98.0,Agra,Achnera,Potato,Desi,FAQ,2020.0,2120.0,2080.0,2020-09-08
99.0,Agra,Achnera,Potato,Desi,FAQ,2020.0,2100.0,2060.0,2020-09-07
100.0,Agra,Achnera,Potato,Desi,FAQ,2000.0,2060.0,2030.0,2020-09-05
101.0,Agra,Achnera,Potato,Desi,FAQ,1970.0,2030.0,2000.0,2020-09-04
102.0,Agra,Achnera,Potato,Desi,FAQ,2010.0,2090.0,2050.0,2020-09-03
103.0,Agra,Achnera,Potato,Desi,FAQ,2000.0,2080.0,2040.0,2020-09-02
104.0,Agra,Achnera,Potato,Desi,FAQ,1950.0,2050.0,2000.0,2020-09-01
105.0,Agra,Achnera,Potato,Desi,FAQ,2020.0,2100.0,2060.0,2020-08-31
106.0,Agra,Achnera,Potato,Desi,FAQ,2000.0,2080.0,2040.0,2020-08-30
107.0,Agra,Achnera,Potato,Desi,FAQ,2000.0,2100.0,2050.0,2020-08-29
108.0,Agra,Achnera,Potato,Desi,FAQ,2000.0,2100.0,2050.0,2020-08-28
109.0,Agra,Achnera,Potato,Desi,FAQ,2040.0,2120.0,2080.0,2020-08-26
110.0,Agra,Achnera,Potato,Desi,FAQ,2000.0,2100.0,2050.0,2020-08-25
111.0,Agra,Achnera,Potato,Desi,FAQ,1930.0,2030.0,1980.0,2020-08-24
112.0,Agra,Achnera,Potato,Desi,FAQ,1940.0,2020.0,1980.0,2020-08-23
113.0,Agra,Achnera,Potato,Desi,FAQ,1930.0,2010.0,1970.0,2020-08-22
114.0,Agra,Achnera,Potato,Desi,FAQ,1920.0,2000.0,1960.0,2020-08-21
115.0,Agra,Achnera,Potato,Desi,FAQ,1900.0,1960.0,1930.0,2020-08-19
116.0,Agra,Achnera,Potato,Desi,FAQ,1930.0,2030.0,1980.0,2020-08-18
117.0,Agra,Achnera,Potato,Desi,FAQ,1900.0,1960.0,1930.0,2020-08-17
118.0,Agra,Achnera,Potato,Desi,FAQ,1900.0,1960.0,1930.0,2020-08-16
119.0,Agra,Achnera,Potato,Desi,FAQ,1900.0,1960.0,1930.0,2020-08-15
120.0,Agra,Achnera,Potato,Desi,FAQ,1900.0,1980.0,1940.0,2020-08-14
121.0,Agra,Achnera,Potato,Desi,FAQ,1870.0,1930.0,1900.0,2020-08-12
122.0,Agra,Achnera,Potato,Desi,FAQ,1880.0,1960.0,1920.0,2020-08-11
123.0,Agra,Achnera,Potato,Desi,FAQ,1900.0,1940.0,1920.0,2020-08-10
124.0,Agra,Achnera,Potato,Desi,FAQ,1800.0,1880.0,1840.0,2020-08-09
125.0,Agra,Achnera,Potato,Desi,FAQ,1840.0,1920.0,1880.0,2020-08-08
126.0,Agra,Achnera,Potato,Desi,FAQ,1870.0,1930.0,1900.0,2020-08-07
127.0,Agra,Achnera,Potato,Desi,FAQ,1860.0,1940.0,1900.0,2020-08-05
128.0,Agra,Achnera,Potato,Desi,FAQ,1850.0,1930.0,1890.0,2020-08-04
129.0,Agra,Achnera,Potato,Desi,FAQ,1860.0,1940.0,1900.0,2020-08-03
130.0,Agra,Achnera,Potato,Desi,FAQ,1850.0,1930.0,1890.0,2020-08-02
131.0,Agra,Achnera,Potato,Desi,FAQ,1830.0,1930.0,1880.0,2020-08-01
132.0,Agra,Achnera,Potato,Desi,FAQ,1820.0,1900.0,1860.0,2020-07-31
133.0,Agra,Achnera,Potato,Desi,FAQ,1800.0,1880.0,1840.0,2020-07-27
134.0,Agra,Achnera,Potato,Desi,FAQ,1800.0,1880.0,1840.0,2020-07-26
135.0,Agra,Achnera,Potato,Desi,FAQ,1800.0,1840.0,1820.0,2020-07-25
136.0,Agra,Achnera,Potato,Desi,FAQ,1800.0,1880.0,1840.0,2020-07-24
137.0,Agra,Achnera,Potato,Desi,FAQ,1750.0,1850.0,1800.0,2020-07-22
138.0,Agra,Achnera,Potato,Desi,FAQ,1840.0,1920.0,1880.0,2020-07-21
139.0,Agra,Achnera,Potato,Desi,FAQ,1800.0,1880.0,1840.0,2020-07-20
140.0,Agra,Achnera,Potato,Desi,FAQ,1760.0,1840.0,1800.0,2020-07-19
